epoch	lr	loss_train	loss_test	mpjpe_mean(train)	mpjpe_std(train)	mpjpe_mean(test)	mpjpe_std(test)	learnloss_train	learnloss_test	
114	0.00100	2899.60026	2962.58178	72.46371	6.42509	63.46610	7.42297	94.87735	20.89211	
115	0.00100	2895.36484	2984.39918	72.48300	6.10511	63.73148	7.51959	29.42174	9.25945	
116	0.00100	2887.16900	2986.60037	72.31779	6.53084	63.87315	7.31460	19.16708	32.31796	
117	0.00100	2864.16752	2888.62741	72.11464	6.40275	62.02760	7.20620	64.42364	38.29872	
118	0.00100	2851.48835	2901.37192	71.99112	6.04123	62.53263	6.80632	27.70144	12.23888	
119	0.00100	2897.50996	2923.09984	72.51289	6.35297	62.99984	7.26891	10.82461	8.75781	
120	0.00100	2875.50002	2960.97638	72.30406	6.19716	63.47295	7.38080	9.73630	7.51557	
121	0.00100	2871.71665	2891.63564	72.06549	6.41859	62.49124	7.22957	13.59076	15.50779	
122	0.00100	2868.93891	2893.10306	72.13281	6.34190	62.30916	7.31593	9.96307	4.34192	
123	0.00100	2866.27746	2933.60803	72.07544	6.32203	62.88522	7.34651	11.41482	40.15559	
124	0.00100	2879.98721	3021.14718	72.19141	6.27455	65.03288	7.49919	9.59465	22.04213	
125	0.00100	2846.89487	2889.83204	71.82288	6.28906	62.23064	6.63725	14.55135	9.47660	
126	0.00100	2851.59097	2885.36453	71.90410	6.17766	62.17230	7.11313	18.57384	7.21096	
127	0.00100	2859.51410	2902.67769	71.94588	6.11848	62.51421	6.75749	10.53458	12.26382	
128	0.00100	2850.72451	2894.50823	71.93756	6.41297	62.69781	6.74433	11.10476	8.58325	
129	0.00100	2842.08097	2881.41572	71.86923	6.41133	62.21444	6.81304	11.39207	5.50977	
130	0.00100	2834.21061	2914.67776	71.70547	6.19612	62.77888	6.68593	12.99065	5.42125	
131	0.00100	2855.61284	2883.10412	72.01473	6.21981	62.00864	7.04884	21.60029	9.34257	
132	0.00100	2833.57984	2920.70353	71.75875	6.04259	62.96373	7.64963	9.58904	7.51292	
133	0.00100	2826.53159	2914.66602	71.61089	6.11631	62.60776	7.45964	18.38271	12.59662	
134	0.00100	2822.94058	2913.21282	71.57522	6.16386	62.75296	7.07588	16.69360	5.43656	
135	0.00100	2828.11040	2931.75751	71.59942	6.32123	63.08759	7.01558	16.02104	21.29618	
136	0.00100	2812.14523	2924.65973	71.39778	6.18026	63.14650	7.04821	15.42059	14.81883	
137	0.00100	2790.58882	2912.82239	71.20404	6.02826	62.48779	6.89910	9.78085	7.23783	
138	0.00100	2807.35172	2907.66984	71.38554	6.19632	62.57240	7.10142	14.40436	20.45112	
139	0.00100	2788.65176	2952.66267	71.20169	5.68795	63.01361	6.85475	11.84278	387.77478	
140	0.00100	2783.32659	2895.26588	71.18880	5.78570	62.64008	7.27743	23.40964	12.15732	
141	0.00100	2798.46341	2851.54178	71.22358	6.15742	61.57507	6.51923	12.45826	5.60880	
142	0.00100	2810.61752	2891.73951	71.38002	5.99533	62.23938	7.18575	21.00287	7.84794	
143	0.00100	2791.29488	2872.48548	71.14408	5.92796	61.80738	7.19100	16.05480	8.21426	
144	0.00100	2791.29098	2954.29257	71.17278	6.21247	63.30892	6.77086	10.98327	5.09334	
145	0.00100	2809.59030	2869.38723	71.42982	6.42605	61.66139	6.89670	11.22113	13.48187	
146	0.00100	2774.06239	2911.69450	70.95019	5.84031	62.51396	7.62670	19.49957	6.46019	
147	0.00100	2801.20163	2914.53369	71.31584	6.25619	63.12494	7.20628	8.90783	13.05137	
148	0.00100	2788.75880	2877.92778	71.15411	5.92458	62.36704	6.96955	13.04593	9.57176	
149	0.00100	2791.61950	2917.87414	71.19195	6.08103	62.73908	7.13176	15.19668	6.30752	
150	0.00100	2767.31077	2903.86422	70.91620	6.03864	62.66536	7.11167	13.96863	78.10367	
151	0.00100	2778.59210	2911.73241	71.05489	5.89702	62.60198	7.80864	24.23864	8.33209	
152	0.00100	2774.66915	2891.02318	70.98606	6.08639	62.27968	7.14005	10.96843	10.51151	
153	0.00100	2762.94995	2894.27202	70.84459	6.20949	62.52439	6.80581	8.26540	11.35232	
154	0.00100	2776.87066	2915.90288	70.95444	5.92396	62.86720	7.25789	11.46404	10.25164	
155	0.00100	2770.23935	2881.87211	70.97761	5.66145	61.85123	6.95954	12.34448	5.51091	
156	0.00100	2740.34409	2849.24013	70.54818	5.86131	61.46369	7.22398	8.92795	13.21747	
157	0.00100	2764.56623	2903.43149	70.81886	6.15807	62.22842	7.69445	53.41487	23.89989	
158	0.00100	2750.72120	2881.32222	70.68810	5.91316	61.96714	6.78003	9.23356	25.87185	
159	0.00100	2769.83077	2912.08037	70.95498	6.00122	62.37797	7.46689	50.54457	68.29636	
160	0.00100	2760.26267	2930.21785	70.77984	6.06104	63.38928	6.99403	19.63518	8.98838	
161	0.00100	2753.96523	2898.52730	70.89771	5.70901	62.62461	7.04008	36.50034	6.76874	
162	0.00100	2749.91460	2956.34367	70.67178	6.07743	63.47387	6.80709	16.91334	14.83352	
163	0.00100	2735.32972	2891.12639	70.41362	5.75683	61.99688	6.98850	82.51807	12.69506	
164	0.00100	2731.81874	2878.33579	70.38631	5.75745	61.73411	7.04690	14.91905	12.23045	
165	0.00100	2734.70996	2922.23703	70.41415	6.04989	62.86432	6.93254	19.23602	5.97007	
166	0.00100	2732.29713	2895.19146	70.44134	5.95836	62.35168	7.02830	12.88025	13.18323	
167	0.00100	2727.81635	2899.27321	70.36968	5.80751	62.60466	7.03485	15.50373	4.92354	
168	0.00100	2716.65761	2854.20500	70.25466	5.84199	61.41922	7.41747	12.97619	6.63843	
169	0.00100	2732.13573	2958.46998	70.35112	5.98554	63.54871	7.15187	12.66940	9.34269	
170	0.00100	2719.83301	2892.03036	70.28250	5.75826	62.29839	7.21153	35.64683	78.55139	
171	0.00100	2730.37530	2821.89569	70.46795	6.19969	60.79448	7.00861	11.74369	15.84725	
172	0.00100	2704.44783	2888.67897	70.11276	5.67049	62.21767	7.34748	29.45295	7.38509	
173	0.00100	2723.13153	2868.03742	70.30437	5.99138	61.48867	7.57155	11.74444	8.45548	
174	0.00100	2711.27840	2871.83598	70.20162	5.63237	61.95634	6.55837	9.89521	29.39075	
175	0.00100	2724.65240	2955.29708	70.33829	5.75617	63.49995	7.53131	16.72333	9.75356	
176	0.00100	2702.71173	2895.22089	70.10420	5.70304	62.15815	7.18621	16.37472	11.53503	
177	0.00100	2715.05475	2876.74854	70.21941	5.84305	61.99484	7.28343	33.54932	6.10582	
178	0.00100	2705.16287	2894.24750	70.15076	5.70840	62.19516	6.73277	23.09632	8.29720	
179	0.00100	2719.68627	2902.27134	70.26151	5.79468	62.44368	7.23424	25.39921	10.59687	
180	0.00100	2725.01127	2877.69915	70.31809	5.66131	62.12488	7.27857	24.82022	12.94047	
181	0.00100	2687.66724	2888.41401	69.90658	5.67488	62.13729	7.24390	16.33018	26.42223	
182	0.00100	2704.69026	2865.61380	70.18719	5.87002	61.66509	7.08022	28.78995	49.23256	
183	0.00100	2683.45358	2928.43400	69.86819	6.25862	62.81408	7.22039	62.05909	4.71974	
184	0.00100	2692.10412	2884.30624	70.00840	5.61967	62.31943	7.23130	15.04881	96.35664	
185	0.00100	2680.03498	2902.27502	69.76411	5.99504	62.63618	7.46616	31.43776	18.59077	
186	0.00100	2690.45465	2861.70737	69.85115	5.95349	61.72614	7.08518	9.49284	156.08702	
187	0.00100	2695.35741	2929.60025	69.92057	5.94127	62.86671	7.07479	19.83014	8.67445	
188	0.00100	2676.66962	2870.07031	69.73893	5.76040	61.86140	7.26712	9.03994	12.17457	
189	0.00100	2695.40868	2850.04225	69.92441	6.05781	61.76627	7.66369	14.06749	11.87901	
190	0.00100	2679.90554	2868.43048	69.84899	5.76179	61.76558	7.25235	12.95093	8.34474	
191	0.00100	2679.29913	2916.52316	69.81382	5.93217	63.08558	6.67616	34.15477	4.79683	
192	0.00100	2688.25993	2843.47003	69.87055	5.72605	61.47546	7.57924	12.06080	16.82512	
193	0.00100	2695.02578	2873.39223	70.02882	6.01254	61.99170	7.13428	8.88431	20.57793	
194	0.00100	2678.44301	2827.84189	69.74618	5.84115	61.35403	7.25664	18.87302	8.92946	
195	0.00100	2675.88488	2900.06824	69.71324	5.60652	62.38737	7.35784	9.86892	9.39465	
196	0.00100	2671.01698	2881.40825	69.67255	5.79199	61.92244	7.19668	16.55979	47.89933	
197	0.00100	2686.79668	2848.72992	69.82751	5.92847	61.58726	7.59221	11.70621	16.32986	
198	0.00100	2664.74977	2853.76363	69.63484	5.64279	61.65425	7.02742	61.02291	26.82507	
199	0.00100	2655.95919	2881.73543	69.47437	5.81085	62.22524	7.17318	13.07364	6.50547	
200	0.00100	2653.67060	2889.88046	69.50909	5.67935	62.64580	7.45455	9.87227	23.22530	
201	0.00100	2658.07556	2883.75851	69.53141	5.78847	62.12307	6.97701	11.75090	24.01625	
202	0.00100	2653.56579	2877.42128	69.52686	5.59910	62.16492	6.97045	7.60269	6.10139	
203	0.00100	2674.35040	2888.58525	69.69200	5.79411	62.32482	7.53128	15.65325	5.69240	
204	0.00100	2660.11145	2847.38343	69.60774	5.76896	61.76390	7.02209	9.67883	10.72336	
205	0.00100	2646.67921	2888.39751	69.35249	5.60449	62.29688	7.18056	144.50615	39.49872	
206	0.00100	2662.93083	2888.06386	69.63123	5.75162	62.22574	6.98621	16.03898	8.88842	
207	0.00100	2657.72082	2876.74920	69.47084	5.73190	61.78077	6.85311	24.67560	23.87965	
208	0.00100	2647.31977	2877.84163	69.35396	5.53500	62.32892	7.16039	21.03225	4.76534	
209	0.00100	2666.76221	2905.38131	69.62519	5.72442	62.50579	6.98508	400.34448	32.06036	
210	0.00100	2642.68291	2884.44802	69.26998	5.87619	62.30406	7.39646	11.84726	18.87711	
211	0.00100	2647.42913	2871.20246	69.31717	5.54096	61.75162	6.77166	10.28112	7.81039	
212	0.00100	2663.60524	2907.31495	69.59085	6.13452	62.69041	6.79859	21.60909	6.81621	
213	0.00100	2645.61985	2872.25904	69.39871	5.62366	62.07319	7.32425	9.50746	5.76554	
214	0.00100	2644.69860	2881.35869	69.29886	5.84068	62.29313	6.62477	43.07641	11.84848	
215	0.00100	2634.63994	2871.24932	69.25092	5.84608	61.99975	7.14652	8.38866	17.88993	
216	0.00100	2632.83078	2825.07680	69.11128	5.58930	60.67481	7.21787	13.93578	13.19930	
217	0.00100	2620.35391	2854.64307	69.15122	5.73134	61.52191	7.24919	9.47121	5.76758	
218	0.00100	2633.75009	2819.92336	69.20526	5.34808	61.17184	7.34872	9.87405	7.99788	
219	0.00100	2629.45622	2869.21812	69.21741	5.71170	61.86716	7.30787	34.73182	6.29247	
220	0.00100	2636.03231	2855.85290	69.24481	5.63004	61.60605	6.48886	7.60144	5.43247	
221	0.00100	2644.50530	2912.92598	69.36608	5.82661	63.09392	6.98768	12.28863	6.15353	
222	0.00100	2629.78871	2863.48196	69.18572	5.52583	61.90285	7.42775	13.71448	7.99105	
223	0.00100	2617.09471	2863.75002	68.95799	5.61667	61.96209	7.19915	15.51536	45.18471	
224	0.00100	2631.60986	2858.35884	69.17846	5.86925	61.92645	7.49461	12.87525	32.25458	
225	0.00100	2614.87667	2922.98717	68.90887	5.77018	62.84620	7.49784	161.47337	38.73635	
226	0.00100	2611.89196	2872.81352	68.90880	5.51836	61.99672	7.01773	10.43253	12.52801	
227	0.00100	2612.70731	2857.50210	68.89662	5.51308	61.51444	7.80989	13.34217	13.39824	
228	0.00100	2626.09313	2900.59601	69.16292	5.65154	62.18131	7.28898	8.92202	15.36914	
229	0.00100	2636.27364	2828.81002	69.19156	5.83907	61.50820	7.69529	15.86849	16.44111	
230	0.00100	2615.56358	2852.49950	68.92645	5.60553	61.87160	7.16509	17.75925	11.18356	
231	0.00100	2628.44359	2888.98270	69.13539	5.79847	62.32933	7.09700	24.84955	22.75642	
232	0.00100	2622.23128	2858.02325	69.07899	5.18447	61.80685	6.55095	13.68613	12.32312	
233	0.00100	2619.24214	2896.00096	69.08670	5.40923	62.62422	6.97378	20.97800	15.51062	
234	0.00100	2601.30801	2864.57384	68.77931	5.31101	62.02402	7.19930	13.55200	7.63804	
235	0.00100	2597.14312	2889.18386	68.78598	5.82130	62.28425	6.81509	14.35136	12.93606	
236	0.00100	2603.51583	2852.22735	68.86657	5.47803	61.55109	6.12552	27.34553	9.02429	
237	0.00100	2599.44931	2846.44337	68.81870	5.52534	61.72497	6.79867	13.62271	7.29661	
238	0.00100	2603.92027	2909.73139	68.81904	5.30761	62.95378	6.98345	25.74391	6.62182	
239	0.00100	2587.95031	2861.04082	68.66099	5.54795	61.58594	7.58788	18.28623	12.60588	
240	0.00100	2602.88702	2896.34142	68.81863	5.68505	62.51068	7.08772	8.08740	34.87862	
241	0.00100	2594.23581	2877.37145	68.77707	5.69549	62.07787	7.36524	19.44767	8.65115	
242	0.00100	2612.54399	2859.71087	68.91641	5.66809	61.80461	7.55131	15.11881	5.64907	
243	0.00100	2598.42170	2923.92164	68.82755	5.74329	63.18126	7.09431	8.99850	7.78186	
244	0.00100	2591.73454	2842.93733	68.66594	5.35994	61.71458	7.63129	15.54383	8.84376	
245	0.00100	2580.54312	2902.98891	68.56830	5.72571	62.71242	7.15656	8.70672	9.79442	
246	0.00100	2582.86301	2898.17743	68.65464	5.46820	62.46661	7.33757	20.31928	7.23355	
247	0.00100	2592.93144	2850.19175	68.72006	5.51939	61.67065	7.80183	14.64944	22.00398	
248	0.00100	2588.52590	2866.56075	68.70440	5.57015	61.91957	7.56911	18.90218	6.29065	
249	0.00100	2592.45028	2863.24431	68.70884	5.71217	61.73511	7.52475	13.56634	5.91502	
250	0.00100	2596.55963	2840.87798	68.69730	5.62216	61.42953	6.43130	21.40118	15.67459	
